"text_string"	"ignore"	"alias_to"	"lang"
"basilica"	1		"en"
"upper egypt"	0	"egypt"	"en"
"marmora"	0	"sea marmora"	"en"
"isaiah"	1		"en"
"southern europe"	0	"europe"	"en"
"st valentine"	1		"en"
"oval"	1		"en"
"mountain city"	1		"en"
"metropolis"	1		"en"
"mendon"	0	"mendon france"	"en"
"great salt lake city"	0	"salt lake city"	"en"
"new york sun"	0	"new york city"	"en"
"mount tabor"	0	"mount tabor israel"	"en"
"long wharf"	0	"long wharf boston ma"	"en"
"mountain"	1		"en"
"ultima thule"	0	"greenland"	"en"
"lower egypt"	0	"egypt"	"en"
"kaaba"	0	"mecca"	"en"
"suburbia"	1		"en"
"upper mississippi"	0	"mississippi river usa"	"en"
"quaker city"	0	"philadelphia pa"	"en"
"academe"	1		"en"
"smithville"	0	"smithville tn"	"en"
"baden"	0	"baden baden"	"en"
"britannia"	0	"britain"	"en"
"mount ararat"	0	"mount ararat turkey"	"en"
"kedron"	0	"kidron israel"	"en"
"southern france"	0	"france"	"en"
"new netherlands"	0	"new york state"	"en"
"young america"	0	"united states"	"en"
"washington irving"	1		"en"
"manassas junction"	0	"manassas"	"en"
"stone bridge"	0	"manassas"	"en"
"lunnon"	0	"london"	"en"
"metropolitan museum"	0	"new york city"	"en"
"chancery lane"	0	"london"	"en"
"fayal"	0	"faial portugal"	"en"
"whitehaven"	0	"whitehaven england"	"en"
"dover street"	0	"boston ma"	"en"
"southern italy"	0	"italy"	"en"
"greenwood cemetery"	0	"green wood cemetery brooklyn ny"	"en"
"mount vesuvius"	0	"mount vesuvius italy"	"en"
"metropolitan"	1		"en"
"luzerne"	0	"lucerne"	"en"
"sinai"	0	"egypt africa"	"en"
"streatham"	0	"streatham uk"	"en"
"valentine"	1		"en"
"pisces"	1		"en"
"sunda"	0	"sunda straight indonesia"	"en"
"saco"	0	"saco river"	"en"
"harlem heights"	0	"harlem"	"en"
"sioux river"	0	"big sioux river sd"	"en"
"nismes"	0	"nimes france"	"en"
"tophet"	0	"jerusalem israel"	"en"
"st domingo"	0	"santo domingo dominican republic"	"en"
"shasta"	0	"mount shasta"	"en"
"juniata"	0	"juniata pa"	"en"
"old spain"	0	"spain"	"en"
"table bay"	0	"table bay cape town south africa"	"en"
"abbotsford"	0	"melrose uk"	"en"
"hindostan"	0	"india"	"en"
"mountain chapel"	1		"en"
"mount etna"	0	"mount etna italy"	"en"
"connecticut valley"	0	"connecticut river"	"en"
"mountain brook"	1		"en"
"west india islands"	0	"west indies"	"en"
"ramah"	0	"jerusalem israel"	"en"
"mountain meadow"	1		"en"
"nile valley"	0	"river nile africa"	"en"
"troas"	0	"canakkale turkey"	"en"
"washinton"	0	"washington dc"	"en"
"st jago"	0	"santiago cape verde"	"en"
"victoria haven"	1		"en"
"charlestown neck"	0	"charlestown boston ma"	"en"
"mercer"	1		"en"
"richmond"	0	"richmond virginia"	"en"
"somerville"	1		"en"
"boston"	0	"boston ma"	"en"
"jerusalem"	0	"jerusalem israel"	"en"
"providence"	1		"en"
"beulah"	1		"en"
"westbrook"	1		"en"
"flint"	1		"en"
"wallingford"	1		"en"
"arden"	1		"en"
"paradise"	1		"en"
"florence"	1		"en"
"philadelphia"	0	"philadelphia pa"	"en"
"california"	0	"california usa"	"en"
"sabbath"	1		"en"
"milford"	1		"en"
"springs"	1		"en"
"charlotte"	1		"en"
"everett"	1		"en"
"bella"	1		"en"
"beast"	1		"en"
"ossian"	1		"en"
"new york city"	0	"new york city ny"	"en"
"america"	0	"united states"	"en"
"beau"	1		"en"
"margate"	0	"margate kent uk"	"en"
"windsor"	1		"en"
"bengal"	0	"west bengal india"	"en"
"american"	1		"en"
"philly"	0	"philadelphia pa"	"en"
"oceana"	1		"en"
"conrad"	1		"en"
"orlando"	1		"en"
"hamilton"	1		"en"
"raleigh"	1		"en"
"upas"	1		"en"
"cornwall"	0	"cornwall england"	"en"
"lincoln"	1		"en"
"merrie england"	0	"england"	"en"
"rosa"	1		"en"
"port"	1		"en"
"new jerusalem"	1		"en"
"hardscrabble"	1		"en"
"captain gray"	1		"en"
"flora flora"	1		"en"
"earnest"	1		"en"
"bible"	1		"en"
"grey"	1		"en"
"hampton"	1		"en"
"san francisco"	0	"san francisco ca"	"en"
"virgin"	1		"en"
"woodland"	1		"en"
"beverly"	1		"en"
"great spirit"	1		"en"
"united states bank"	1		"en"
"ida"	1		"en"
"rose hill"	1		"en"
"sunnyside"	1		"en"
"hebrew"	1		"en"
"vinal"	1		"en"
"adelaide"	1		"en"
"houghton"	1		"en"
"utopia"	1		"en"
"tennyson"	1		"en"
"palm"	1		"en"
"afar"	1		"en"
"pierian"	1		"en"
"mother goose"	1		"en"
"hast"	1		"en"
"thou"	1		"en"
"oho"	1		"en"
"sea"	1		"en"
"queen city"	1		"en"
"new englander"	1		"en"
"chile chile"	1		"en"
"cato"	1		"en"
"mankind"	1		"en"
"haralson"	1		"en"
"heaven"	1		"en"
"chile"	1		"en"
"st angelo"	1		"en"
"aunt dinah"	1		"en"
"beggary"	1		"en"
"bellevue"	0	"bellevue hospital new york ny"	"en"
"eliza"	1		"en"
"worthington"	1		"en"
"templeton"	1		"en"
"jersey"	0	"new jersey usa"	"en"
"montgomery"	1		"en"
"kingston"	1		"en"
"meredith bridge"	0	"laconia"	"en"
"keene"	1		"en"
"rutland"	1		"en"
"henry"	1		"en"
"biddeford"	0	"biddeford maine"	"en"
"augusta"	1		"en"
"hudson river"	0	"hudson river ny"	"en"
"field"	1		"en"
"buddha"	1		"en"
"plato"	1		"en"
"corinth"	0	"corinth greece"	"en"
"earl"	1		"en"
"great republic"	1		"en"
"moselle"	0	"moselle france"	"en"
"elizabeth"	1		"en"
"st cecilia"	1		"en"
"carolinians"	1		"en"
"honiton"	1		"en"
"orange"	1		"en"
"leonard"	1		"en"
"charleston hotel"	1		"en"
"gotham"	0	"new york city ny"	"en"
"lafayette"	1		"en"
"gadsden"	1		"en"
"cicero"	1		"en"
"ha"	1		"en"
"keno"	1		"en"
"arrah"	1		"en"
"neck"	1		"en"
"maria"	1		"en"
"fremont"	1		"en"
"northumberland"	0	"northumberland england uk"	"en"
"st martin"	1		"en"
"new york hotel"	1		"en"
"astor"	1		"en"
"putnam"	1		"en"
"wellington"	1		"en"
"st nicholas"	1		"en"
"haidee"	1		"en"
"chili"	1		"en"
"constantinople"	0	"istanbul"	"en"
"latin"	1		"en"
"longfellow"	1		"en"
"dickens"	1		"en"
"south carolinians"	1		"en"
"glasgow"	0	"glasgow scotland"	"en"
"spanish"	1		"en"
"portuguese"	1		"en"
"south carolinian"	1		"en"
"macon"	0	"macon georgia"	"en"
"st charles"	1		"en"
"samson"	1		"en"
"carolinian"	1		"en"
"jones"	1		"en"
"new york new york"	0	"new york city ny"	"en"
"victoria"	1		"en"
"villany"	1		"en"
"caesar"	1		"en"
"nited states"	0	"united states"	"en"
"dutch"	1		"en"
"franconia"	1		"en"
"santee"	1		"en"
"joe"	1		"en"
"saxon"	1		"en"
"county"	1		"en"
"maxwell"	1		"en"
"harry"	1		"en"
"us"	0	"united states"	"en"
"bob"	1		"en"
"bench"	1		"en"
"oman"	1		"en"
"lord"	1		"en"
"ashley"	1		"en"
"south esq "	1		"en"
"ingin"	1		"en"
"st michael"	1		"en"
"montague"	1		"en"
"st augustine"	1		"en"
"scott"	1		"en"
"peninsula"	1		"en"
"chancellorville"	0	"chancellorsville"	"en"
"district"	1		"en"
"fulton"	1		"en"
"george washington"	1		"en"
"main"	1		"en"
"topman"	1		"en"
"highlands"	1		"en"
"petersham"	1		"en"
"steuben"	1		"en"
"florence florence florence"	1		"en"
"florence florence"	1		"en"
"ada"	1		"en"
"phoenix"	1		"en"
"whittier"	1		"en"
"columbus"	1		"en"
"st auburn"	1		"en"
"vi"	1		"en"
"city"	1		"en"
"edward"	1		"en"
"long"	1		"en"
"state virginia"	0	"virginia usa"	"en"
"america esq "	1		"en"
"angelina"	1		"en"
"milesian"	1		"en"
"susa"	1		"en"
"samoset"	1		"en"
"matilda"	1		"en"
"thou thou"	1		"en"
"lo"	1		"en"
"amelia"	1		"en"
"nelly"	1		"en"
"evelina"	1		"en"
"salem"	0	"salem mass "	"en"
"vandyke"	1		"en"
"winthrop"	1		"en"
"satan"	1		"en"
"beelzebub"	1		"en"
"arundel"	1		"en"
"eveline"	1		"en"
"devon"	0	"devon gb"	"en"
"puritans"	1		"en"
"indian"	1		"en"
"suffolk"	0	"suffolk uk"	"en"
"pequot"	1		"en"
"sassacus"	1		"en"
"shakspeare"	1		"en"
"french"	1		"en"
"loyola"	1		"en"
"tuam"	1		"en"
"pike"	1		"en"
"persia"	0	"iran"	"en"
"mother church"	1		"en"
"st bartholomew"	1		"en"
"mystic"	1		"en"
"lochiel"	1		"en"
"samoset samoset"	1		"en"
"sachem"	1		"en"
"eden"	1		"en"
"partridge"	1		"en"
"tybalt"	1		"en"
"manitou"	1		"en"
"holden"	1		"en"
"monmouth"	1		"en"
"damocles"	1		"en"
"deuteronomy"	1		"en"
"euclid"	1		"en"
"leelinau"	1		"en"
"hercules"	1		"en"
"ithuriel"	1		"en"
"north river"	1		"en"
"william"	1		"en"
"otway"	1		"en"
"ceres"	1		"en"
"salt lake"	0	"salt lake city"	"en"
"beaumont"	1		"en"
"abraham"	1		"en"
"romanism"	1		"en"
"adam"	1		"en"
"mass "	0	"massachusetts"	"en"
"pentecost"	1		"en"
"enon"	1		"en"
"origen"	1		"en"
"tertullian"	1		"en"
"augustine"	1		"en"
"eusebius"	1		"en"
"cambridge platform"	1		"en"
"middle states"	1		"en"
"queens"	1		"en"
"scriptures"	1		"en"
"celestial city"	1		"en"
"tabor"	1		"en"
"newport"	0	"newport rhode island"	"en"
"emily"	1		"en"
"yazoo river"	0	"yazoo river ms"	"en"
"montezuma"	1		"en"
"hibernian"	1		"en"
"shanghae"	0	"shanghai"	"en"
"nankin"	0	"nanking"	"en"
"ned"	1		"en"
"tremont street"	1		"en"
"sophia"	1		"en"
"ovid"	1		"en"
"carlyle"	1		"en"
"benedict"	1		"en"
"hungerford"	1		"en"
"grecian"	1		"en"
"eugene"	1		"en"
"ledge"	1		"en"
"buckstone"	1		"en"
"julia"	1		"en"
"hayti"	0	"haiti"	"en"
"pittsburg"	0	"pittsburgh"	"en"
"ellen"	1		"en"
"mandeville"	1		"en"
"mandeville mandeville"	1		"en"
"hardy"	1		"en"
"virginny"	0	"virginia"	"en"
"atlas"	1		"en"
"henrietta"	1		"en"
"asenath"	1		"en"
"rom"	1		"en"
"fayette"	1		"en"
"despond"	1		"en"
"east room"	1		"en"
"hospital"	1		"en"
"spades"	1		"en"
"hades"	1		"en"
"desert sahara"	0	"africa"	"en"
"minerva"	1		"en"
	1		"en"
"emerson"	1		"en"
"laura"	1		"en"
"ben"	1		"en"
"betsey"	1		"en"
"florence nightingale"	1		"en"
"hepsey"	1		"en"
"washington washington"	1		"en"
"solomon"	1		"en"
"parson"	1		"en"
"hiawatha"	1		"en"
"st paul"	1		"en"
"flint flint"	1		"en"
"daisy"	1		"en"
"eves"	1		"en"
"festus"	1		"en"
"stillwater"	1		"en"
"ark "	0	"arkansas"	"en"
"state maine"	0	"maine"	"en"
"fairfax court house"	0	"fairfax"	"en"
"boston new york"	1		"en"
"scotia"	1		"en"
"rappaccini"	1		"en"
"arthur"	1		"en"
"tuscany"	0	"tuscany italy"	"en"
"agnes"	1		"en"
"trojan"	1		"en"
"philadelphia philadelphia"	1		"en"
"eleanor"	1		"en"
"franklin"	1		"en"
"pacific railroad"	1		"en"
"ella"	1		"en"
"orson"	1		"en"
"pratt"	1		"en"
"u s "	0	"united states"	"en"
"mormon"	1		"en"
"ocean"	1		"en"
"p m "	1		"en"
"steerage"	1		"en"
"new york boston"	1		"en"
"new york central"	1		"en"
"great manitou"	1		"en"
"sherman"	1		"en"
"lee"	1		"en"
"northeast"	1		"en"
"farragut"	1		"en"
"panola"	1		"en"
"maud"	1		"en"
"fairfax fairfax"	1		"en"
"beauregard"	1		"en"
"petersburg"	0	"petersburg virginia"	"en"
"lord palmerston"	1		"en"
"persian"	1		"en"
"lees"	1		"en"
"france france"	1		"en"
"europe asia africa"	1		"en"
"tarleton"	1		"en"
"lelia"	1		"en"
"hermitage"	1		"en"
"beach"	1		"en"
"mrs "	1		"en"
"miss "	0	"mississippi"	"en"
"hannah"	1		"en"
"falls niagara"	0	"niagara falls ny"	"en"
"christian"	1		"en"
"chestnut"	1		"en"
"herbert"	1		"en"
"moses"	1		"en"
"peri"	1		"en"
"niagara falls"	0	"niagara falls ny"	"en"
"cain"	1		"en"
"lethe"	1		"en"
"vale"	1		"en"
"beacon"	1		"en"
"elysium"	1		"en"
"paul"	1		"en"
"prescott"	1		"en"
"tilda"	1		"en"
"cuban"	1		"en"
"circean"	1		"en"
"helena"	1		"en"
"niagara saratoga"	1		"en"
"charles"	1		"en"
"valley virginia"	1		"en"
"st john"	1		"en"
"middle ages"	1		"en"
"cum"	1		"en"
"linda"	1		"en"
"bostin"	0	"boston ma"	"en"
"evelyn"	1		"en"
"tarn"	1		"en"
"sutherland"	1		"en"
"rotunda"	1		"en"
"southern"	1		"en"
"robespierre"	1		"en"
"signora"	1		"en"
"frederick"	1		"en"
"vargin"	1		"en"
"lexington"	0	"lexington ma"	"en"
"palmyra"	0	"palmyra syria"	"en"
"dade"	1		"en"
"midas"	1		"en"
"hebe"	1		"en"
"moncrieffe"	1		"en"
"oenone"	1		"en"
"adelaide adelaide"	1		"en"
"hybla"	0	"ragusa italy"	"en"
"empire city"	0	"new york city ny"	"en"
"waterman"	1		"en"
"lord percy"	1		"en"
"south american"	1		"en"
"richmond va "	0	"richmond virginia"	"en"
"montrose"	1		"en"
"manor"	1		"en"
"beppo"	1		"en"
"una"	1		"en"
"helen"	1		"en"
"florida florida"	1		"en"
"syren"	1		"en"
"puck"	1		"en"
"tempe"	1		"en"
"littleton"	1		"en"
"frank"	1		"en"
"mahomet"	1		"en"
"lord chesterfield"	1		"en"
"louisa"	1		"en"
"isadora"	1		"en"
"papa"	1		"en"
"clara"	1		"en"
"adela"	1		"en"
"clara clara"	1		"en"
"antonio"	1		"en"
"el dorado"	1		"en"
"asia africa"	1		"en"
"united states hotel"	1		"en"
"inez"	1		"en"
"louisville"	0	"louisville kentucky"	"en"
