AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00082,Arlen,Michael,Michael J,,,,,,,,1895,1956,American,M,,Armenian-American,,,U of Edinburgh,,,Modernism,,,"Rousse, Bulgaria; Southport, Lancashire, UK; London, UK; Cannes, France; Hollywood, CA"
A_00083,Armer,Laura Adams,,,,,,,,,1874,1963,American,F,,,,,CA School of Design,,Photographer,,,,"Sacramento, CA; San Francisco, CA"
A_00084,Armstrong,Charlotte,,,,,,,,,1905,1969,American,F,,,,,Barnard Coll,,,,,,"Vulcan, MI; Glendale, CA"
A_00086,Armstrong,Martin,,,,,,,,,1882,1974,British,M,,,,,Cambridge,,,Georgian,,,"Newcastle-upon-Tyne, North East, UK"
A_00087,Arnold,Francena,Francena H.,,,,,,,,1888,1972,American,F,,,,,,,,,,,"Literberry, IL; Jacksonville, IL;Chicago, IL; Oak Park, IL"
A_00088,Arnold,Madelyn,,,,,,,,,,,American,F,,,,Lesbian,,,,,,,"Seattle, WA"
A_00089,Arnold,William,,,,,,,,,1945,,American,M,,,,,,,Film Critic,,,,"Taiwan; Seattle, WA"
A_00090,Arnow,Harriette Louisa Simpson,,,,,,,,,1908,1986,American,F,,,,,U of Louisville,,,,,,"Monticello, KY; Cincinnati, OH; Detroit, MI; Ann Arbor, MI"
A_00091,Asch,Sholem,,,,,,,,,1880,1957,American,M,Caucasian,Polish-American,1,,,,,,Jewish,,"Kutno, Poland; Warsaw, Poland; New York, NY; Tel Aviv, Israel; London, UK"
A_00092,Ashe,Penelope,(House),McGrady,Mike,,,,,,,,American,,,,,,,,,,,,"New York, NY"
A_00093,Ashford,Daisy,,,,,,,,,1881,1972,British,F,,,,,,,Secretary,,,,"Petersham, Surrey, UK; London, UK; Dover, UK; Norfolk, UK"
A_00094,Ashwood-Collins,Anna,,,,,,,,,,,American,F,,,,,,,,,,,"New York, NY"
A_00095,Asimov,Isaac,,,,,,,,,1920,1992,American,M,,,1,,Columbia,,Biochemist,,,,"Petrovichi, Russian SFSR;New York, NY; Philadelphia, PA; Boston, MA"
