BOOK_ID,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,WRITTEN_AS,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE,CLEAN?,GENRE_2,BESTSELLER?
1841,00001841.txt,59,The daughter of a Republican,Babcock,Bernie,A_00113,,Chicago,New Voice Press,1900,g,American,,,,
1842,00001842.txt,470,Eben Holden,Bacheller,Irving,A_00117,,Boston,Lothrop publishing Co.,1900,g,American,,,,YES
1850,00001850.txt,167,The duke of Stockbridge,Bellamy,Edward,A_00239,,Boston/New York,"""etc. Silver, Burdett & Co.""",1900,g,American,,c,,
1872,00001872.txt,163,In the palace of the king,Crawford,F. Marion,A_00778,,Mass./New York/London,Macmillan Co.,1900,g,American,ROM,,,
1879,00001879.txt,263,A friend of Caesar,Davis,William Stearns,A_00879,,New York/London,Macmillan Co.,1900,g,American,,,,
1884,00001884.txt,154,Sister Carrie,Dreiser,Theodore,A_00996,,New York,"""Doubleday, Page & Co.""",1900,g,American,REAL,c,NAT,
1900,00001900.txt,59,Wanted: a match maker,Ford,Paul Leicester,A_01218,,New York,"""Dodd, Mead""",1900,g,American,ROM,,,
1902,00001902.txt,171,Crittenden,Fox,John,A_01235,,New York,Charles Scribner's Sons,1900,g,American,,,,
1903,00001903.txt,32,A Cumberland vendetta,Fox,John,A_01235,,New York/London,Harper & Bros.,1900,g,American,,,,
1911,00001911.txt,526,The voice of the people,Glasgow,Ellen Anderson Gholson,A_01372,,New York,"""Doubleday, Page & Co.""",1900,g,American,,,,
1913,00001913.txt,104,The redemption of David Corson,Goss,Charles Frederic,A_01413,,Indianapolis,Bowen-Merrill Co.,1900,g,American,,,,YES
1916,00001916.txt,91,The circular study,Green,Anna Katharine,A_01444,,New York,"""McClure, Phillips & Co.""",1900,g,American,,,,
1919,00001919.txt,60,Way down East,Grismer,Joseph Rhode,A_01472,,New York,J.S. Ogilvie,1900,g,American,,,,
1927,00001927.txt,90,The web of life,Herrick,Robert,A_01637,,New York,Macmillan Co.,1900,g,American,,,,
1937,00001937.txt,369,To have and to hold,Johnston,Mary,A_01828,,Boston/Mass./Cambridge,Houghton Mifflin Co.,1900,g,American,,,,YES
1941,00001941.txt,54,With hoops of steel,Kelly,Florence Finch,A_01880,,Indianapolis,Bowen-Merrill,1900,g,American,,,,
1944,00001944.txt,27,Lords of the North,Laut,Agnes C.,A_02000,,New York,P.F. Collier & Son,1900,g,American,,,,
1958,00001958.txt,42,A manifest destiny,Magruder,Julia,A_02203,,New York/London,Harper & Bros.,1900,g,American,,,,
1970,00001970.txt,45,The autobiography of a quack and the case of George Dedlow,Mitchell,S. Weir,A_02433,,New York,Century Co.,1900,g,American,,,,
1978,00001978.txt,58,The bread line,Paine,Albert Bigelow,A_02634,,New York,Century Co.,1900,g,American,,,,
1984,00001984.txt,57,Peck's Uncle Ike and the red headed boy,Peck,George W.,A_02689,,Chicago,Thompson & Thomas,1900,g,American,,,,
1988,00001988.txt,91,Quincy Adams Sawyer and Mason's corner folks,Pidgin,Charles Felton,A_02746,,Boston,C.M. Clark,1900,g,American,,,,
2000,00002000.txt,60,Robert Tournay,Sage,William,A_03005,,Boston/New York,Houghton Mifflin Co.,1900,g,American,,,,
2002,00002002.txt,30,The moon metal,Serviss,Garrett Putman,A_03081,,New York/London,Harper & Bros.,1900,g,American,,,,
2007,00002007.txt,46,The campaign of the jungle,Stratemeyer,Edward,A_03286,,Boston,Lee & Shepard,1900,g,American,,,,
2010,00002010.txt,282,Monsieur Beaucaire,Tarkington,Booth,A_03336,,New York,"""McClure, Phillips & Co.""",1900,g,American,,c,,
2011,00002011.txt,449,Alice of old Vincennes,Thompson,Maurice,A_03371,,Indianapolis,"""Bowen-Merrill Co., Braunsworth, Munn & Barber""",1900,g,American,,,,YES
2024,00002024.txt,30,Penelope's experiences in Scotland,Wiggin,Kate Douglas Smith,A_03620,,London,Gay & Bird,1900,g,American,ROM,,,
2028,00002028.txt,56,The gentle art of cooking wives,Worthington,Elizabeth Strong,A_03716,,New York,Dodge,1900,g,American,,,,
4811,00004811.txt,155,The master-Christian,Corelli,Marie,A_00748,,New York,"""Dodd, Mead & Co.""",1900,k,British,,,,
4812,00004812.txt,283,The life and death of Richard Yea-and-Nay,Hewlett,Maurice,A_01641,,New York/London,Macmillan Co.,1900,k,British,,,,
1671,00001671.txt,67,A daughter of the vine,Atherton,Gertrude Franklin Horn,A_00099,,New York/London,J. Lane,1899,g,American,,,,
1675,00001675.txt,199,The dreamers : a club,Bangs,John Kendrick,A_00148,,New York/London,Harper & Bros.,1899,g,American,,,,
1690,00001690.txt,57,In connection with the De Willoughby claim,Burnett,Frances Hodgson,A_00486,,New York,Charles Scribner's Sons,1899,g,American,,,,
1703,00001703.txt,137,The story of old Fort Loudon,Murfree,Mary Noailles,A_02514,1,New York/London,Macmillan Co.,1899,g,American,,,,
1711,00001711.txt,44,From kingdom to colony,Devereux,Mary,A_00922,,Boston,"""Little, Brown & Co.""",1899,g,American,,,,
1713,00001713.txt,68,The black wolf's breed,Dickson,Harris,A_00937,,Indianapolis,Bowen-Merrill Co.,1899,g,American,,,,
1719,00001719.txt,55,Mr. Dooley in the hearts of his countrymen,Dunne,Finley Peter,A_01023,,Boston,"""Small, Maynard""",1899,g,American,,,,
1723,00001723.txt,177,Janice Meredith,Ford,Paul Leicester,A_01218,,New York,Grosset & Dunlap,1899,g,American,,,,YES
1724,00001724.txt,58,A mountain Europa,Fox,John,A_01235,,New York,Harper & Bros.,1899,g,American,,,,
1725,00001725.txt,264,The Jamesons,Freeman,Mary Eleanor Wilkins,A_01254,,New York/Philadelphia,"""Doubleday, Page & Co.""",1899,g,American,,c,,
1729,00001729.txt,63,The trail of the goldseekers,Garland,Hamlin,A_01306,,New York,Macmillan Co.,1899,g,American,REAL,c,,
1733,00001733.txt,66,Agatha Webb,Green,Anna Katharine,A_01444,,New York,G.P. Putnam's Sons,1899,g,American,,,,
1734,00001734.txt,57,Imperium in imperio,Griggs,Sutton E.,A_01467,,Cincinnati,Editor Pub. Co.,1899,g,American,,c,,
1747,00001747.txt,146,Lena Rivers,Holmes,Mary Jane,A_01681,,New York,A.L. Burt,1899,g,American,,,,
1752,00001752.txt,336,Their silver wedding journey,Howells,William Dean,A_01716,,New York/London,Harper & Bros.,1899,g,American,REAL,c,,
1757,00001757.txt,338,The awkward age,James,Henry,A_01780,,New York/London,Harper & Bros.,1899,g,American,REAL,c,,
1762,00001762.txt,50,Found in the Philippines,King,Charles,A_01908,,London,F.T. Neely,1899,g,American,,,,
1773,00001773.txt,56,Arms and the woman,MacGrath,Harold,A_02179,,New York,"""Doubleday, Page & Co.""",1899,g,American,,,,
1785,00001785.txt,157,McTeague,Norris,Frank,A_02566,,New York,"""Doubleday, Page & Co.""",1899,g,American,REAL,c,NAT,
1786,00001786.txt,151,Blix,Norris,Frank,A_02566,,New York,P.F. Collier & Son,1899,g,American,REAL,c,NAT,
1812,00001812.txt,62,A gentleman player,Stephens,Robert Neilson,A_03253,,Boston,L.C. Page & Co.,1899,g,American,,,,
1822,00001822.txt,72,Snow on the headlight,Warman,Cy,A_03518,,New York,D. Appleton & Co.,1899,g,American,,,,
1825,00001825.txt,57,The wolf's long howl,Waterloo,Stanley,A_03529,,Chicago,H.S. Stone,1899,g,American,,,,
1828,00001828.txt,195,The greater inclination,Wharton,Edith,A_03582,,New York,Charles Scribner's Sons,1899,g,American,REAL,c,,
1833,00001833.txt,57,How to cook husbands,Worthington,Elizabeth Strong,A_03716,,New York,Dodge,1899,g,American,,,,
4810,00004810.txt,97,Lord Jim,Conrad,Joseph,A_00717,,Garden City/N.Y.,,1899,k,British,,,,
1528,00001528.txt,90,The Californians,Atherton,Gertrude Franklin Horn,A_00099,,New York/London,J. Lane. Lane,1898,g,American,,,,
1530,00001530.txt,56,Ghosts I have met and some others,Bangs,John Kendrick,A_00148,,New York/London,Harper & Bros.,1898,g,American,FANT,c,,
1534,00001534.txt,85,The Puritans,Bates,Arlo,A_00192,,Boston/New York,Houghton Mifflin Co.,1898,g,American,,,,
1540,00001540.txt,63,For love of country,Brady,Cyrus Townsend,A_00372,,New York,Charles Scribner's Sons,1898,g,American,,,,
1549,00001549.txt,56,Doctor Jones's picnic,Chapman,S. E.,A_00610,,San Francisco,Whitaker & Ray Co.,1898,g,American,,,,
1561,00001561.txt,35,A little girl in old Boston,Douglas,Amanda M.,A_00984,,New York,"""Dodd, Mead""",1898,g,American,,,,
1566,00001566.txt,58,Mr. Dooley in peace and in war,Dunne,Finley Peter,A_01023,,Boston,"""Small, Maynard""",1898,g,American,,,,
1574,00001574.txt,39,Elsie's holidays at Roselands,Finley,Martha,A_01161,,New York,A.L. Burt,1898,g,American,ROM,,,
