"ID","Category","Language","Genre","Genre2","Pubdate","Author_Last","Author_First","Work_Title","Translation","PubHouse","Prize","WinnerShortlist","Author_Gender","Author_Nationality","token_count","total_characters","protagonist_concentration","avg_sentence_length","avg_word_length","tuldava_score","event_count","speed_avg","circuitousness","speed_min","volume","goodreads_avg","total_ratings","goodreads_URL","Probability1P"
"2016_Grushin,Olga_FortyRooms_CT.txt","FIC","English","NYT","",2016,"Grushin","Olga","FortyRooms","","PenguinGroupUSA","","","F","",103061,26,0.4217791411,22.1731927711,4.2778446051,4.1791034216,5069,-2.3084,0.16983,-2.4782,-2.9515,3.86,1451,"https://www.goodreads.com/search?q=Olga+Grushin+Forty+Rooms",1
"2016_Gullan,Harold_CradlesofPower_HIST.txt","NON","English","HIST","",2016,"Gullan","Harold","CradlesofPower:TheMothersandFathersoftheAmericanPresidents","","SkyhorsePublishing","","","M","",151575,203,0.0243611177,21.7748886654,4.7138823529,4.7257794398,2623,-2.3984,0.11994,-2.5183,-3.0092,3.79,39,"https://www.goodreads.com/search?q=+Cradlesof+Power:+The+Mothersand+Fathersofthe+American+Presidents",0
"2016_Haigh,Jennifer_HeatAndLight_CT.txt","FIC","English","NYT","",2016,"Haigh","Jennifer","HeatandLight","","Ecco","","","F","",151223,101,0.1057921185,12.4014269313,4.3411854041,3.3000418873,5072,-2.2061,0.21797,-2.424,-2.9545,3.74,3877,"https://www.goodreads.com/search?q=+Heatand+Light",0
"2016_Hamilton,LaurellK_CrimsonDeath_BS.txt","FIC","English","BS","",2016,"Hamilton","LaurellK.","CrimsonDeath","","Berkley","","","F","",325720,96,0.1294924251,16.1303421978,3.9411727499,3.4017580692,14071,-2.2959,0.21513,-2.511,-3.2905,3.88,11210,"https://www.goodreads.com/search?q=+Crimson+Death",1
"2016_Hamilton,PeterF_ANightWithoutStars_SF.txt","FIC","English","SF","",2016,"Hamilton","PeterF.","ANightWithoutStars","","DelRey","","","M","",301213,107,0.127792424,12.7702971976,4.4340289252,3.4816738947,15164,-2.1658,0.31587,-2.4816,-3.1992,4.42,8110,"https://www.goodreads.com/search?q=+A+Night+Without+Stars",0
"2016_Handke,Peter_TheMoravianNightAStory_CT.txt","FIC","English","NYT","",2016,"Handke","Peter","TheMoravianNight:AStory","","Farrar,Straus,andGiroux","","","M","",140391,9,0.2233009709,27.1970166602,4.3835803725,4.7616375403,3503,-2.3837,0.15862,-2.5423,-3.0291,3.37,225,"https://www.goodreads.com/search?q=Peter+Handke+The+Moravian+Night:+A+Story",0
"2016_Hansen,Dorte_ThisHouseIsMine_CT.txt","FIC","English","NYT","",2016,"Hansen","Dorte","ThisHouseisMine","","St.Martin'sPress","","","F","",79360,44,0.2164246824,17.7103325151,4.2570536103,3.8072396491,3035,-2.3823,0.13011,-2.5124,-2.9333,3.97,4405,"https://www.goodreads.com/search?q=+This+Houseis+Mine",0
"2016_Hansen,Ron_TheKid_CT.txt","FIC","English","NYT","",2016,"Hansen","Ron","TheKid","","Scribner","","","M","",106744,128,0.0498656315,21.0250147725,4.3745048494,4.1935095537,6245,-2.274,0.23422,-2.5082,-2.9686,3.45,486,"https://www.goodreads.com/search?q=Ron+Hansen+The+Kid",0
"2016_Harrigan,Stephen_AFriendOfMrLicoln_CT.txt","FIC","English","NYT","",2016,"Harrigan","Stephen","AFriendofMr.Lincoln","","Vintage","","","M","",165547,82,0.2470562097,19.8569029627,4.2662660156,4.097695999,7290,-2.3175,0.25171,-2.5692,-3.1304,3.86,1128,"https://www.goodreads.com/search?q=+A+Friendof+Mr.+Lincoln",0
"2016_Harris,Robert_Conclave_CT.txt","FIC","English","NYT","",2016,"Harris","Robert","Conclave","","AlfredAKnopf","","","M","",98763,51,0.2955145119,16.9608449253,4.3729851246,4.0245687116,4754,-2.2778,0.28546,-2.5633,-3.0281,3.96,24954,"https://www.goodreads.com/search?q=Robert+Harris+Conclave",0
"2016_Hart,Joe_TheLastGirl_MY.txt","FIC","English","MY","SF",2016,"Hart","Joe","TheLastGirl","","","","","M","",139410,36,0.3544743701,14.2298662856,4.1426000253,3.3815804991,10315,-2.2747,0.24827,-2.5229,-3.0491,3.79,20716,"https://www.goodreads.com/search?q=Joe+Hart+The+Last+Girl",0
"2016_Haslett,Adam_ImagineMeGone_CT.txt","FIC","English","NYT","",2016,"Haslett","Adam","ImagineMeGone","","HachetteBookGroup","","","M","",129721,40,0.3469894475,17.8310652921,4.0741499459,3.7010444337,5148,-2.3093,0.21431,-2.5237,-3.0724,3.69,17267,"https://www.goodreads.com/search?q=Adam+Haslett+Imagine+Me+Gone",1
"2016_Hawley,Noah_BeforeTheFall_BS.txt","FIC","English","BS","NYT",2016,"Hawley","Noah","BeforetheFall","","","","","M","",145339,57,0.225747407,14.0464869044,4.1662505359,3.3506512792,7252,-2.1517,0.2524,-2.4041,-2.9569,3.72,122074,"https://www.goodreads.com/search?q=+Beforethe+Fall",0
"2016_Healy,MarkR_DawnofProcyon_SF.txt","FIC","English","SF","",2016,"Healy","MarkR.","DawnofProcyon","","FutureHousePublishing","","","M","",99233,30,0.4570694087,13.4790817713,4.1932658123,3.3631110487,5323,-2.2786,0.25501,-2.5336,-2.9869,4.03,338,"https://www.goodreads.com/search?q=+Dawnof+Procyon",0
"2016_Hemmings,KauiHart_HowToPartyWithAnInfant_CT.txt","FIC","English","NYT","",2016,"Hemmings","KauiHart","HowtoPartywithanInfant","","Simon&Schuster","","","F","",82617,40,0.1167695473,13.0951022349,4.0802562227,3.1573218901,3703,-2.3457,0.16662,-2.5123,-2.9159,3.35,2261,"https://www.goodreads.com/search?q=+Howto+Partywithan+Infant",1
"2016_Hertmans,Stefan_WarAndTurpentine_CT.txt","FIC","English","NYT","",2016,"Hertmans","Stefan","WarandTurpentine","","PantheonBooks","","","M","",117952,34,0.1311154599,25.0269467431,4.3606224365,4.4966617739,5611,-2.2667,0.15671,-2.4234,-2.9234,3.91,9450,"https://www.goodreads.com/search?q=+Warand+Turpentine",1
